Store_ID,Weekly_Sales,IsHoliday,CPI,Unemployment,Month
1,24924.5,0,211.0963582,8.106,2
1,11737.12,0,211.0963582,8.106,2
1,13223.76,0,211.0963582,8.106,2
1,46729.77,0,211.0963582,8.099,2
1,21249.31,0,211.0963582,8.099,2
1,32229.38,0,211.0963582,8.099,2
1,12251.94,0,211.0963582,8.106,2
1,115564.35,0,211.0963582,8.106,2
1,64494.87,0,211.0963582,8.106,2
1,24146.49,0,211.0963582,8.106,2
1,10217.55,0,211.0963582,8.106,2
1,106690.06,0,211.0963582,8.106,2
1,50605.27,0,211.0963582,8.106,2
1,39954.04,0,211.0963582,8.106,2
1,15694.17,0,211.0963582,8.106,2
1,40129.01,0,211.0963582,8.106,2
1,20837.77,0,211.0963582,8.106,2
1,76419.47,0,211.0963582,8.106,2
1,19466.91,0,211.0963582,8.106,2
1,56655.39,0,211.0963582,8.106,2
1,32153.04,0,211.0963582,8.106,2
1,11501.46,0,211.0963582,8.106,2
1,62424.14,0,211.0963582,8.106,2
1,13740.12,0,211.0963582,8.106,2
1,11875.84,0,211.0963582,8.106,2
1,30052.75,0,211.0963582,8.106,2
1,13623.98,0,211.0963582,8.106,2
1,19484.03,0,211.0963582,8.106,2
1,41969.29,0,211.0963582,8.106,2
1,66780.63,0,211.0963582,8.106,2
1,11609.5,0,211.0963582,8.106,2
1,30721.5,0,211.0963582,8.106,2
1,98499.12,0,211.0963582,8.106,2
1,139884.94,0,211.0963582,8.106,2
1,24213.18,0,211.0963582,8.106,2
1,10891.37,0,211.0963582,8.106,2
1,10887.84,1,211.2421698,8.106,2
1,36080.86,1,211.2421698,8.106,2
1,18826.47,1,211.2421698,8.106,2
1,36476.4,1,211.2421698,8.106,2
1,13403.66,1,211.2421698,8.106,2
1,22812.41,1,211.2421698,8.106,2
1,39254.57,1,211.2421698,8.106,2
1,35351.21,1,211.2421698,8.106,2
1,18310.31,1,211.2421698,8.106,2
1,18129.02,1,211.2421698,8.106,2
1,18892.81,1,211.2421698,8.106,2
1,21760.75,1,211.2421698,8.106,2
1,16309.73,1,211.2421698,8.106,2
1,14700.59,1,211.2421698,8.106,2
1,29620.81,1,211.2421698,8.106,2
1,16562.49,1,211.2421698,8.106,2
1,16139.05,1,211.2421698,8.106,2
1,16720.84,1,211.2421698,8.106,2
1,20949.36,1,211.2421698,8.106,2
1,70202.02,1,211.2421698,8.106,2
1,37334.83,1,211.2421698,8.106,2
1,30694.25,1,211.2421698,8.106,2
1,13268.75,1,211.2421698,8.106,2
1,62329.48,1,211.2421698,8.106,2
